Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
8691788.0,37249.0,Michelle Harrington,Ebony39@gmail.com,1414786801.0,3959 Amanda Burgs,Dortmund,Berlin,77985.0,Germany,21.0,Male,Low,Regular,9/18/2023,2023.0,September,22:03:55,3.0,108.0287567,324.08627,Clothing,Nike,Shorts,Excellent,Same-Day,Debit Card,Shipped,5.0,Cycling shorts
2174773.0,69749.0,Kelsey Hill,Mark36@gmail.com,6852899987.0,82072 Dawn Centers,Nottingham,England,99071.0,UK,19.0,Female,Low,Premium,12/31/2023,2023.0,December,8:42:04,2.0,403.3539073,806.7078147,Electronics,Samsung,Tablet,Excellent,Standard,Credit Card,Processing,4.0,Lenovo Tab
6679610.0,30192.0,Scott Jensen,Shane85@gmail.com,8362160449.0,4133 Young Canyon,Geelong,New South Wales,75929.0,Australia,48.0,Male,Low,Regular,4/26/2023,2023.0,April,4:06:29,3.0,354.4775997,1063.432799,Books,Penguin Books,Children's,Average,Same-Day,Credit Card,Processing,2.0,Sports equipment
7232460.0,62101.0,Joseph Miller,Mary34@gmail.com,2776751724.0,8148 Thomas Creek Suite 100,Edmonton,Ontario,88420.0,Canada,56.0,Male,High,Premium,5/8/2023,2023.0,May,14:55:17,7.0,352.4077173,2466.854021,Home Decor,Home Depot,Tools,Excellent,Standard,PayPal,Processing,4.0,Utility knife
4983775.0,27901.0,Debra Coleman,Charles30@gmail.com,9098267635.0,5813 Lori Ports Suite 269,Bristol,England,48704.0,UK,22.0,Male,Low,Premium,1/10/2024,2024.0,January,16:54:07,2.0,124.2765245,248.5530491,Grocery,Nestle,Chocolate,Bad,Standard,Cash,Shipped,1.0,Chocolate cookies
6095326.0,41289.0,Ryan Johnson,Haley12@gmail.com,3292677006.0,532 Ashley Crest Suite 014,Brisbane,New South Wales,74430.0,Australia,58.0,Female,Medium,Premium,9/21/2023,2023.0,September,23:24:27,4.0,296.2918059,1185.167224,Electronics,Apple,Tablet,Good,Express,PayPal,Pending,4.0,Lenovo Tab
5434096.0,97285.0,Erin Lewis,Arthur76@gmail.com,1578355423.0,600 Brian Prairie Suite 497,Kitchener,Ontario,47545.0,Canada,29.0,Female,Low,New,6/26/2023,2023.0,June,13:35:51,2.0,315.0576476,630.1152951,Electronics,Samsung,Television,Bad,Standard,Cash,Processing,1.0,QLED TV
2344675.0,26603.0,Angela Fields,Tanya94@gmail.com,3668096144.0,237 Young Curve,Munich,Berlin,86862.0,Germany,29.0,Male,Medium,Premium,3/24/2023,2023.0,March,10:12:56,1.0,46.58807038,46.58807038,Clothing,Zara,Shirt,Bad,Same-Day,Cash,Processing,1.0,Dress shirt
4155845.0,80175.0,Diane Clark,Martin39@gmail.com,6219779557.0,8823 Mariah Heights Apt. 263,Wollongong,New South Wales,39820.0,Australia,46.0,Male,Medium,New,1/6/2024,2024.0,January,14:38:26,8.0,328.8393017,2630.714413,Grocery,Nestle,Chocolate,Bad,Same-Day,Cash,Delivered,1.0,Dark chocolate
4926148.0,31878.0,Lori Bell,Jessica33@gmail.com,6004895059.0,6225 William Lodge,Cologne,Berlin,64317.0,Germany,25.0,Male,Medium,New,10/4/2023,2023.0,October,22:27:40,10.0,397.6112295,3976.112295,Home Decor,Home Depot,Decorations,Excellent,Standard,Cash,Delivered,4.0,Candles
8493213.0,19136.0,Jonathan Eaton,Mark38@gmail.com,2996714102.0,9772 Sosa Coves,Portsmouth,England,59280.0,UK,64.0,Female,Low,Regular,7/20/2023,2023.0,July,23:06:51,4.0,90.98186975,363.927479,Home Decor,Home Depot,Tools,Average,Standard,Credit Card,Shipped,2.0,Screwdriver set
